subgroup_column,subgroup_value,n,event_rate,auroc,brier_score,false_negative_rate,false_positive_rate,sensitivity,specificity
sex,Female,641,0.1996879875195008,0.8566642300194931,0.14866833663084586,0.109375,0.35282651072124754,0.890625,0.6471734892787524
sex,Male,609,0.19540229885057472,0.7681872749099641,0.1782616717157885,0.19327731092436976,0.4061224489795918,0.8067226890756303,0.5938775510204082
race_ethnicity,Asian,97,0.21649484536082475,0.7593984962406015,0.17798428009426742,0.19047619047619047,0.4868421052631579,0.8095238095238095,0.5131578947368421
race_ethnicity,Black,269,0.16728624535315986,0.8220238095238095,0.1545921291246901,0.15555555555555556,0.35267857142857145,0.8444444444444444,0.6473214285714286
race_ethnicity,Hispanic,302,0.2185430463576159,0.8134951206985105,0.16812754769233493,0.15151515151515152,0.3728813559322034,0.8484848484848485,0.6271186440677966
race_ethnicity,Other,88,0.22727272727272727,0.7132352941176471,0.22611773730796403,0.1,0.5294117647058824,0.9,0.47058823529411764
race_ethnicity,White,494,0.19230769230769232,0.8346392296530802,0.1504759588368741,0.14736842105263157,0.3508771929824561,0.8526315789473684,0.6491228070175439
